date,store_id,total_stock,average_price,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,total_revenue_lag_7,rolling_mean_7,rolling_median_7,rolling_min_7,rolling_max_7,rolling_std_7
2017-01-02,113,14141.0,9.73995731056563,0,1,1,2017,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,25,9738.0,7.144517184942725,0,1,1,2017,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,82,11183.0,8.128869987849331,0,1,1,2017,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,8,11483.0,9.51124312431243,0,1,1,2017,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-09,113,15853.0,9.842270620945317,0,1,1,2017,9,9,2,0.0,572.0857142857143,374.9200000000001,76.30000000000001,1145.2599999999998,387.44000420956104
2017-01-09,21,5680.0,5.23981308411215,0,1,1,2017,9,9,2,323.45000000000005,594.2914285714286,478.89,76.30000000000001,1145.2599999999998,375.0716837454128
2017-01-09,8,13028.0,9.611638576779026,0,1,1,2017,9,9,2,76.30000000000001,648.4614285714285,478.89,349.9200000000001,1145.2599999999998,309.43028344731493
2017-01-09,6,4879.0,4.211788617886177,0,1,1,2017,9,9,2,836.69,542.52,455.4899999999999,95.1,1145.2599999999998,357.46710184295273
2017-01-09,25,9957.0,7.285617816091964,0,1,1,2017,9,9,2,374.9200000000001,565.7957142857142,478.89,95.1,1145.2599999999998,349.9609764367613
2017-01-09,82,13174.0,8.283056994818656,0,1,1,2017,9,9,2,898.0599999999998,584.2571428571429,478.89,95.1,1145.2599999999998,373.05668915569584
2017-01-16,21,5922.0,5.25387323943662,0,1,1,2017,16,16,3,349.9200000000001,743.9814285714285,537.85,95.1,1467.9900000000002,480.0199117546609
2017-01-16,6,5141.0,4.232738095238094,0,1,1,2017,16,16,3,1145.2599999999998,596.58,478.89,95.1,1467.9900000000002,494.46432574386336
2017-01-16,8,13087.0,9.610259981429898,0,1,1,2017,16,16,3,478.89,666.8542857142858,537.85,95.1,1467.9900000000002,509.672713083509
2017-01-16,25,9945.0,7.417324749642357,0,1,1,2017,16,16,3,455.4899999999999,835.4585714285715,970.8100000000004,95.1,1635.7200000000005,612.8664511519776
2017-01-23,8,12991.0,9.63350505979761,0,1,1,2017,23,23,4,95.1,883.2285714285716,970.8100000000004,113.44999999999999,1635.7200000000005,555.9282894531326
2017-01-23,6,4957.0,4.231944444444443,0,1,1,2017,23,23,4,537.85,822.6685714285716,970.8100000000004,113.44999999999999,1635.7200000000005,619.3005351854241
2017-01-23,82,13759.0,8.320468431771896,0,1,1,2017,23,23,4,1027.29,813.8200000000003,965.3500000000003,113.44999999999999,1635.7200000000005,616.3249816181939
2017-01-23,25,10995.0,7.331292613636373,0,1,1,2017,23,23,4,1467.9900000000002,684.7414285714287,564.4399999999999,113.44999999999999,1635.7200000000005,547.2296821393061
2017-01-23,21,5459.0,5.395856481481482,0,1,1,2017,23,23,4,113.44999999999999,724.4328571428574,564.4399999999999,113.93,1635.7200000000005,507.52240149949023
2017-01-23,113,15921.0,9.953714821763603,0,1,1,2017,23,23,4,970.8100000000004,729.5371428571431,564.4399999999999,113.93,1635.7200000000005,510.58370119286985
2017-01-30,21,5940.0,5.316728538283063,0,1,1,2017,30,30,5,1635.7200000000005,557.4628571428573,431.20000000000005,113.93,1006.5400000000002,322.6827795071752
2017-01-30,8,12600.0,9.93183426443203,0,1,1,2017,30,30,5,429.49,554.8442857142858,431.20000000000005,113.93,1006.5400000000002,323.96618459633225
2017-01-30,113,16010.0,10.114481792717084,0,1,1,2017,30,30,5,113.93,701.8842857142857,564.4399999999999,391.2900000000001,1143.21,324.07509617664994
2017-01-30,6,4790.0,4.3148809523809515,0,1,1,2017,30,30,5,965.3500000000003,576.5214285714286,431.20000000000005,87.81,1143.21,371.4409176629384
2017-01-30,25,10427.0,7.369594972067048,0,1,1,2017,30,30,5,564.4399999999999,564.1314285714286,431.20000000000005,87.81,1143.21,373.3526672119616
2017-01-30,82,12547.0,8.389958932238194,0,1,1,2017,30,30,5,391.2900000000001,673.9414285714286,477.7100000000001,87.81,1159.9599999999998,423.69075969109724
2017-02-06,82,13402.0,8.53095625635809,0,1,2,2017,37,6,6,1006.5400000000002,699.0071428571429,477.7100000000001,87.81,1181.9999999999998,450.95950134922634
2017-02-06,25,10092.0,7.50063559322035,0,1,2,2017,37,6,6,431.20000000000005,718.6728571428572,568.86,87.81,1181.9999999999998,440.20776570896186
2017-02-06,8,13021.0,10.075304592314898,0,1,2,2017,37,6,6,411.15999999999997,741.9985714285715,574.44,87.81,1181.9999999999998,425.2700316829521
2017-02-06,21,5464.0,5.44140589569161,0,1,2,2017,37,6,6,1143.21,664.5885714285714,574.44,87.81,1181.9999999999998,387.7274957333037
2017-02-06,113,16193.0,10.601180811808108,0,1,2,2017,37,6,6,87.81,829.482857142857,601.34,477.7100000000001,1242.07,344.5954312288682
2017-02-06,6,4443.0,4.321626984126983,0,1,2,2017,37,6,6,477.7100000000001,776.3571428571428,601.34,105.82999999999998,1242.07,426.74133292172394
2017-02-13,113,16407.0,10.660218181818173,0,1,2,2017,44,13,7,1159.9599999999998,779.2957142857142,601.34,105.82999999999998,1242.07,429.882365958299
2017-02-13,8,13087.0,10.099157303370786,0,1,2,2017,44,13,7,1181.9999999999998,696.267142857143,600.8000000000002,105.82999999999998,1242.07,393.7484103550679
2017-02-13,21,5874.0,5.610837209302327,0,1,2,2017,44,13,7,568.86,684.8357142857142,600.8000000000002,105.82999999999998,1242.07,399.18783393523506
2017-02-13,25,9543.0,7.570268361581933,0,1,2,2017,44,13,7,574.44,684.34,600.8000000000002,105.82999999999998,1242.07,399.3498941195971
2017-02-13,82,13019.0,8.46842479674797,0,1,2,2017,44,13,7,601.34,762.7971428571428,600.8000000000002,105.82999999999998,1242.07,432.86772512759944
2017-02-13,6,4410.0,4.272799999999999,0,1,2,2017,44,13,7,1242.07,598.5100000000001,570.97,92.06,1180.53,438.84332640856377
2017-02-20,8,13079.0,10.158302919708031,0,1,2,2017,51,20,8,105.82999999999998,662.6414285714285,570.97,92.06,1180.53,384.2508436524493
2017-02-20,25,9463.0,7.506506364922215,0,1,2,2017,51,20,8,1180.53,568.3900000000001,554.7500000000001,92.06,1150.54,309.738565137332
2017-02-20,82,13558.0,8.471263902932257,0,1,2,2017,51,20,8,600.8000000000002,628.4171428571428,554.7500000000001,92.06,1150.54,354.54229158706795
2017-02-20,6,4507.0,4.2581349206349195,0,1,2,2017,51,20,8,488.84000000000003,574.0514285714286,554.7500000000001,92.06,1150.54,405.0870012490555
2017-02-20,113,16250.0,10.860905797101445,0,1,2,2017,51,20,8,570.97,661.63,554.7500000000001,92.06,1184.02,465.9998195993928
2017-02-20,21,5967.0,5.605878220140516,0,1,2,2017,51,20,8,1150.54,550.3814285714286,520.77,92.06,1184.02,420.5690033525441
2017-02-27,8,13088.0,10.237470534904807,0,1,2,2017,58,27,9,92.06,617.8085714285714,554.7500000000001,108.27999999999999,1184.02,369.5883025488663
2017-02-27,25,9840.0,7.5110014104372445,0,1,2,2017,58,27,9,554.7500000000001,632.7971428571428,564.05,108.27999999999999,1184.02,368.7312650930794
2017-02-27,82,13006.0,8.5087915407855,0,1,2,2017,58,27,9,520.77,749.9,659.6700000000001,108.27999999999999,1340.4900000000002,448.7137209847724
2017-02-27,113,17074.0,10.871265709156189,0,1,2,2017,58,27,9,1020.9899999999999,762.7257142857143,659.6700000000001,108.27999999999999,1340.4900000000002,458.92081680311503
2017-02-27,6,4355.0,4.308531746031745,0,1,2,2017,58,27,9,108.27999999999999,762.1000000000001,659.6700000000001,103.90000000000002,1340.4900000000002,459.96363711348624
2017-02-27,21,6136.0,5.641241379310345,0,1,2,2017,58,27,9,1184.02,661.8471428571429,564.05,103.90000000000002,1340.4900000000002,428.0467991047353
2017-03-06,82,12702.0,8.164803921568632,0,1,3,2017,65,6,10,371.79999999999995,812.1785714285716,659.6700000000001,103.90000000000002,1424.12,489.57126959645615
2017-03-06,113,16457.0,10.922517985611504,0,1,3,2017,65,6,10,564.05,954.6728571428573,1110.77,103.90000000000002,1561.5100000000007,547.0949978055091
2017-03-06,8,12975.0,9.955447154471543,0,1,3,2017,65,6,10,659.6700000000001,958.6657142857144,1110.77,103.90000000000002,1561.5100000000007,544.6798084152181
2017-03-06,21,5990.0,5.695778781038375,0,1,3,2017,65,6,10,1340.4900000000002,842.5028571428572,687.62,103.90000000000002,1561.5100000000007,536.3213210913242
2017-03-06,6,4308.0,5.297619047619045,0,1,3,2017,65,6,10,1110.77,699.9785714285716,527.3500000000001,103.90000000000002,1561.5100000000007,583.6255107352255
2017-03-06,25,10357.0,7.437745098039227,0,1,3,2017,65,6,10,103.90000000000002,750.8542857142858,527.3500000000001,113.10000000000001,1561.5100000000007,536.6345289815392
2017-03-13,82,12052.0,8.201120943952807,0,1,3,2017,72,13,11,482.25,852.4342857142858,687.62,113.10000000000001,1561.5100000000007,544.5562456672759
2017-03-13,113,16961.0,11.070237676056333,0,1,3,2017,72,13,11,1424.12,825.9157142857146,687.62,113.10000000000001,1561.5100000000007,515.839258615096
2017-03-13,6,4021.0,5.458134920634918,0,1,3,2017,72,13,11,1561.5100000000007,619.82,527.3500000000001,113.10000000000001,1238.4900000000002,457.9064410990527
2017-03-13,25,10082.0,7.498949579831944,0,1,3,2017,72,13,11,687.62,595.6228571428572,518.24,113.10000000000001,1238.4900000000002,458.2017381646899
2017-03-13,8,14107.0,9.844910554561718,0,1,3,2017,72,13,11,527.3500000000001,619.7100000000002,518.24,113.10000000000001,1238.4900000000002,458.44629332852816
2017-03-13,21,5502.0,5.766849315068494,0,1,3,2017,72,13,11,113.10000000000001,672.7942857142858,518.24,118.84,1238.4900000000002,408.8376087094219
2017-03-20,21,5419.0,5.7184295612009235,0,1,3,2017,79,20,12,460.03000000000003,672.9357142857143,518.24,118.84,1238.4900000000002,408.7519028643639
2017-03-20,8,13655.0,9.953432432432434,0,1,3,2017,79,20,12,1193.3100000000004,580.1942857142857,518.24,118.84,1238.4900000000002,338.6409090200191
2017-03-20,25,9921.0,7.496056338028179,0,1,3,2017,79,20,12,1238.4900000000002,471.25,484.68999999999994,118.84,695.9599999999999,174.40958144551539
2017-03-20,6,3993.0,5.49019607843137,0,1,3,2017,79,20,12,118.84,468.47714285714284,484.68999999999994,99.43,695.9599999999999,180.976838178654
2017-03-20,113,16833.0,11.063324630113135,0,1,3,2017,79,20,12,518.24,571.3142857142858,484.68999999999994,99.43,1238.1000000000004,344.56019076774504
2017-03-20,82,11008.0,8.249030000000003,0,1,3,2017,79,20,12,695.9599999999999,618.9371428571429,484.68999999999994,99.43,1238.1000000000004,385.2893879806143
2017-03-27,8,14653.0,10.220840108401086,0,1,3,2017,86,27,13,484.68999999999994,656.5928571428573,544.12,99.43,1238.1000000000004,382.85530002488287
